File: Traces/Traces/Spec_Benchmark/008.espresso.din assoc: 2
Time: 1.23731000
Energy: 3.311377590000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 8
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 2
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 4
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/013.spice2g6.din assoc: 8
Time: 1.29295500
Energy: 3.359387540000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,142403,386,73420,407,0,71.801500,586.449250000
L1i,784179,2607,0,0,0,393.393000,908.40750000
L2,784179,2607,0,0,0,393.393000,908.40750000
DRAM,976,0,0,0,0,44.408000,1.1688160000
File: Traces/Traces/Spec_Benchmark/015.doduc.din assoc: 2
Time: 1.119897500
Energy: 3.932200935000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,152261,925,92546,1891,0,78.484000,638.432750000
L1i,755193,4219,0,0,0,379.706000,939.654750000
L2,755193,4219,0,0,0,379.706000,939.654750000
DRAM,2601,0,14,0,0,118.345500,1.370960525000
File: Traces/Traces/Spec_Benchmark/015.doduc.din assoc: 4
Time: 1.119247500
Energy: 3.928017710000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,152261,925,92546,1891,0,78.484000,638.107750000
L1i,755193,4219,0,0,0,379.706000,939.329750000
L2,755193,4219,0,0,0,379.706000,939.329750000
DRAM,2588,0,11,0,0,117.754000,1.368064365000
File: Traces/Traces/Spec_Benchmark/015.doduc.din assoc: 8
Time: 1.118747500
Energy: 3.924794325000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,152261,925,92546,1891,0,78.484000,637.857750000
L1i,755193,4219,0,0,0,379.706000,939.79750000
L2,755193,4219,0,0,0,379.706000,939.79750000
DRAM,2578,0,0,0,0,117.299000,1.365831030000
File: Traces/Traces/Spec_Benchmark/015.doduc.din assoc: 2
Time: 1.119897500
Energy: 3.932200935000
Cache, RHits, RMiss, WHits, WMiss, Dirty_Evicts, Time_Active, Energy_Used
L1d,152261,925,92546,1891,0,78.484000,638.432750000
L1i,755193,4219,0,0,0,379.706000,939.654750000
L2,755193,4219,0,0,0,379.706000,939.654750000
DRAM,2601,0,14,0,0,118.345500,1.370960525000
File: Traces/Traces/Spec_Benchmark/015.doduc.din assoc: 4
Time: 1.119247500
